#{"t_start": 1681589345.1900601, "env_id": null}
r,l,t
-79.91037,81,15.458967
-88.236296,32,15.480012
-82.300741,46,15.511272
-7.634074,39,15.538182
-82.160741,45,15.567751
-28.271111,30,15.587411
-67.025556,49,15.627263
-59.307778,97,15.707623
-103.147778,31,15.728448
-65.991111,65,15.773234
-97.848519,35,15.797306
-80.238148,78,15.849668
-22.732593,33,15.870752
-79.363704,96,15.936168
-82.511111,38,15.962714
-4.617407,88,16.02217
-98.827778,24,16.038555
-81.898889,51,16.074537
-83.675556,126,16.160225
-84.947037,76,16.212683
-39.05,17,16.224514
-64.056667,93,16.287042
-81.847037,53,16.327299
-82.491481,34,16.349019
-98.646296,21,16.364348
-83.271481,26,16.381512
-82.007778,49,16.412679
-97.054815,49,16.445174
-47.874815,123,16.524472
-81.911481,51,16.558501
-83.718889,19,16.571424
-82.017407,44,16.602485
-18.199259,126,16.686707
-97.608519,44,16.716648
-23.00963,33,16.741094
-82.268889,48,16.774215
-82.056667,50,16.8082
-97.024444,57,16.847065
-98.951111,19,16.8601
-100.798148,68,16.903461
40.771852,91,16.961949
-38.99037,18,16.973804
-82.613333,38,17.004872
-64.294444,114,17.079765
-98.325926,25,17.097928
-40.142593,78,17.152514
-80.535185,77,17.201484
-82.978519,34,17.225107
-98.670741,22,17.240199
-99.382222,13,17.250164
-23.948889,18,17.261714
-65.980741,64,17.303292
-79.500741,93,17.36441
-82.781111,34,17.38764
-22.592963,39,17.413971
-72.783333,34,17.436958
-22.947407,115,17.510528
-98.098519,35,17.53361
-98.226667,34,17.555538
-21.454815,65,17.60151
-98.714074,24,17.618652
-98.475926,26,17.637083
-5.254074,74,17.690917
-77.884074,127,17.776339
-99.06,17,17.787867
-35.498519,92,17.848397
-83.088519,29,17.868515
-82.605926,41,17.894875
-98.639259,23,17.910864
-80.747037,74,17.959293
-82.863333,34,17.983674
-98.602222,29,18.003474
34.398148,151,18.10579
-82.81037,37,18.131787
-83.004444,34,18.155081
-82.901111,33,18.178695
-98.304074,58,18.217047
-98.834815,24,18.233898
23.297037,54,18.271209
-38.101111,33,18.293088
-72.178519,48,18.324703
-22.904074,34,18.35119
-82.454444,42,18.381665
-83.844815,17,18.393317
-23.18963,31,18.415133
-97.752593,41,18.442271
-96.916296,59,18.481962
-98.504444,28,18.500943
-28.172222,31,18.522279
-89.307407,12,18.530597
-98.940741,19,18.542333
-83.614074,23,18.558713
-88.054074,36,18.583056
-82.907778,33,18.605503
-81.257407,59,18.646791
-66.991481,47,18.678531
17.99037,151,18.777126
-97.422222,39,18.800766
-76.147037,66,18.84487
-99.125926,11,18.852671
-83.847407,20,18.86579
-34.586667,88,18.923796
153.774074,135,19.016265
-81.006667,63,19.059618
42.968889,151,19.161142
-82.034444,49,19.193953
-82.225185,43,19.22326
-23.911111,18,19.234449
-85.713333,72,19.280502
-62.319259,42,19.308207
-98.534444,40,19.333954
53.34,151,19.43343
-82.737407,36,19.458038
-82.136296,52,19.493826
-80.077407,84,19.549091
-86.812593,51,19.581773
-82.544444,42,19.611924
-48.34,27,19.63241
-82.264444,49,19.665705
-83.027037,32,19.690737
-39.105926,17,19.702627
-81.442963,76,19.753229
-99.274074,16,19.764667
-23.753333,21,19.778759
-86.405926,58,19.819704
-29.098889,13,19.827939
-85.255556,85,19.886004
-82.37963,43,19.915127
-77.626667,40,19.942243
-103.622222,20,19.956583
-83.070741,30,19.977137
-83.391852,27,19.993867
-70.202963,83,20.046815
-85.938519,56,20.084142
-66.727037,53,20.121797
-98.952593,18,20.135288
42.952963,44,20.165141
-75.460741,73,20.212944
-82.196296,47,20.24349
-107.309801,44,20.271844
-49.513333,83,20.327297
-33.611111,102,20.400344
-85.298519,80,20.455388
-81.497407,58,20.496067
-63.22037,28,20.515476
-66.253704,59,20.555302
-64.935185,84,20.613729
-80.915185,67,20.659586
-7.424074,124,20.742226
-98.252963,29,20.761837
-64.843333,92,20.824428
72.12037,31,20.844982
-98.728148,24,20.86109
-82.462222,44,20.891248
-83.375556,28,20.910442
-82.808889,127,20.994627
-97.912222,33,21.01668
-44.778889,85,21.080042
-41.9,53,21.118791
-38.281582,105,21.189752
-66.778148,50,21.222835
-88.685556,20,21.236858
-54.970741,79,21.290158
-53.675926,100,21.355916
-22.227037,45,21.385591
-69.724074,89,21.443515
-85.92037,63,21.483587
-81.434444,61,21.526177
-33.226667,27,21.543751
-87.856296,38,21.570303
-66.412963,58,21.611163
-100.704444,107,21.683223
-55.442222,70,21.738728
-82.376667,44,21.769764
-78.396296,22,21.783669
