#{"t_start": 1681732670.947023, "env_id": null}
r,l,t
-39.488889,10,11.094301
-99.544444,12,11.101534
-50.007323,66,11.140131
-102.0,13,11.148237
-104.660101,25,11.16312
-52.788889,27,11.179541
-145.917211,88,11.231241
-100.633333,10,11.237448
-93.227778,12,11.244735
-99.638889,10,11.251371
-120.422619,44,11.277547
-47.763889,31,11.295935
-45.380556,31,11.315124
-69.326768,91,11.370521
-88.872222,11,11.37745
-39.2,21,11.390475
-79.197619,59,11.42605
-40.838889,12,11.434418
-133.426984,74,11.482591
-101.080952,24,11.497003
-112.097222,25,11.511377
-41.188889,14,11.520284
-39.977778,13,11.527985
-59.802165,58,11.561282
