#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-105.660841,53,84.831131
-102.961043,36,84.864975
-57.619512,112,85.284255
-98.74713,118,85.810204
-100.656639,41,85.850796
-104.682619,37,86.29055
-102.665909,23,86.313071
15.331332,145,86.833591
-41.070739,10,86.843616
-40.465114,56,87.272317
-41.413508,29,87.29961
-95.148451,167,87.899522
-35.258103,38,87.935094
-103.76823,40,88.426474
-80.318848,82,88.50591
-95.363618,32,89.013327
-62.864511,199,89.732735
-114.75679,116,90.252669
-24.118259,72,90.766753
-102.362023,28,90.793388
-100.672682,155,91.406536
-38.995747,91,91.869387
-71.888902,105,92.42845
-3.831615,149,93.113568
10.101071,201,93.792858
-39.327517,72,94.345136
-43.35898,77,94.416133
-100.243553,36,94.842156
-55.705754,92,94.946415
110.617754,201,95.645144
-99.441912,58,95.698595
49.913356,201,96.376626
-43.66028,79,96.854262
-20.698795,14,96.867689
-92.811544,122,97.399992
-99.231696,25,97.423896
-102.917592,69,97.487811
-95.248005,143,98.078215
-39.540236,63,98.154687
-104.926204,40,98.192463
-38.555556,31,98.56498
-101.368366,88,98.64839
6.514838,201,99.365026
-41.940163,20,99.384095
-14.742791,201,99.990139
-34.572584,167,100.658848
-41.700246,27,100.684503
-103.565274,60,101.063139
-41.06233,38,101.102243
-42.789912,25,101.125958
65.875907,201,101.722828
-43.302105,33,101.753803
-4.784118,201,102.294255
-47.044911,124,102.498069
-101.18678,11,103.062676
-6.276063,201,103.750066
66.108337,201,104.435371
5.365338,201,105.086242
36.623541,188,105.826748
-41.23814,12,105.838581
-46.201969,176,106.374609
-114.303363,146,106.95608
-38.173379,42,107.547619
-13.526829,201,108.231572
-40.356632,125,108.844964
-42.846157,153,109.447478
-39.141962,43,110.016907
-101.036516,31,110.046008
31.900175,136,110.467671
-43.176991,80,110.937702
-20.803029,201,111.642473
-103.704489,102,112.22944
-28.394118,103,112.702232
-103.03608,70,112.766365
-4.560541,145,113.383495
-8.453794,106,113.480118
-42.146122,23,113.993918
-110.440673,92,114.080333
0.300268,201,114.809844
-93.759044,86,114.894763
-101.199393,58,115.414716
-100.659603,70,115.48284
-13.493512,201,116.61693
-102.96258,54,116.669195
-2.196167,201,117.336756
-39.214281,51,117.385285
-94.836885,134,118.018965
-97.349378,157,118.807648
-38.232291,126,119.430955
110.774621,201,120.155574
-3.811842,201,120.911796
-54.339892,126,121.494901
-39.394659,30,121.524706
-104.86277,126,121.963905
-46.367781,54,122.013604
-24.267027,201,122.665945
-39.723459,94,123.135739
-44.601898,45,123.176997
-41.069615,14,123.190463
72.459027,201,123.733584
-103.770386,51,123.780334
-16.605135,201,124.360597
-38.728779,192,125.001125
-74.591165,166,125.735731
-54.760887,125,126.467378
-45.3757,105,126.565668
-103.162746,80,127.158056
-40.416509,80,127.688385
-33.159481,138,128.378477
92.085258,201,129.07221
-14.211146,134,129.754862
-91.807848,108,130.428287
-106.327882,89,131.03524
-100.403837,13,131.048475
15.231947,201,131.748825
-101.826415,19,131.769143
1.543077,201,132.597998
-39.820266,70,133.216785
-101.79425,12,133.230605
-37.408341,102,133.794275
49.509566,201,134.55072
-96.61616,57,135.147025
-23.876828,144,135.851725
-78.522554,156,136.41781
13.758765,201,137.08911
-103.48242,65,137.171272
-99.297946,10,137.181424
-2.289306,80,137.686954
-99.48048,172,138.444533
-39.066878,72,139.017402
-101.808865,70,139.088708
35.885629,201,139.915407
-43.037251,94,140.419976
-101.190739,41,140.458047
-101.801073,33,140.488673
-29.767449,52,140.809922
-101.119663,10,140.819736
-100.163142,50,140.866439
9.642288,196,141.501265
-118.461307,99,141.591896
-19.236719,113,142.211694
70.454589,201,142.941506
-93.777099,54,142.991412
32.726683,168,143.538327
21.859024,201,144.229158
19.742877,201,144.952691
31.137274,201,145.68272
-101.042292,62,146.217108
-12.780246,201,146.872397
-56.19234,146,147.523943
-35.587643,176,148.324279
-119.36359,182,148.970392
23.256287,201,149.709108
6.392292,201,150.339738
8.191285,201,151.14064
-35.520858,112,151.63198
-99.405525,49,151.678005
-39.896277,16,151.693686
-40.403605,10,151.703591
-106.137485,40,152.03254
28.968695,201,152.741617
-39.941167,74,153.323633
34.263185,201,153.945992
-79.390069,154,154.750805
-45.956473,76,154.824051
-41.33304,170,155.509414
-0.996077,201,156.27142
-58.446871,159,156.902074
-50.39746,81,157.478009
-81.490108,60,157.534326
-18.401499,111,158.041599
8.29051,201,158.858362
11.915969,201,159.423879
-39.986066,47,160.055583
2.838693,131,160.659896
15.48009,201,161.304809
-52.118822,111,161.915246
-41.441861,54,162.430932
-106.78655,168,163.097403
-92.016587,55,163.148797
-53.288365,182,163.826439
-38.517164,21,163.847534
-99.977044,46,163.892624
-104.035304,106,164.323695
-37.167573,49,164.904827
-79.787111,107,165.026991
-104.087948,39,165.578286
22.20456,201,166.212325
-51.547103,111,166.866302
-98.973513,44,167.3734
-112.074968,62,167.436707
-122.257689,196,168.126048
146.623223,201,168.932582
-71.510222,200,169.748389
-101.410083,72,169.815639
-105.14141,150,170.346685
-97.328268,123,171.025899
-100.258033,97,171.73482
-99.683219,15,171.749229
-106.110754,45,172.242387
3.880048,201,172.92851
-83.817726,167,173.651955
10.001009,125,173.772256
-97.297283,66,174.465803
-103.281525,39,174.501922
-8.208022,97,174.940656
-102.219999,69,175.39595
-41.150992,83,175.473099
-68.486783,154,176.046029
-0.343954,201,176.871777
-103.949996,156,177.404087
-101.597144,94,177.958098
8.395823,201,178.622951
-0.225964,135,179.296613
-41.273713,60,179.355136
-37.271789,154,179.870901
-107.13872,82,180.462487
-40.953641,105,180.976516
-41.096028,18,180.993857
-101.432773,110,181.518379
-92.156349,134,182.148724
43.337249,201,182.833154
-95.251744,105,183.459122
-33.56809,168,184.061558
-69.739198,158,184.888239
-3.941124,201,185.610824
27.232443,201,186.406151
0.223573,201,187.027997
-109.270753,151,187.903381
-48.907339,197,188.663256
-46.170323,118,189.19876
-45.517976,74,189.655068
0.738089,201,190.340509
18.857966,92,190.893632
148.557529,201,191.567775
-15.289348,42,191.6075
-99.028409,24,191.632689
-34.185069,201,192.277373
