#{"t_start": 1682030397.8749208, "env_id": null}
r,l,t
-44.551992,25,4.364581
-46.382508,27,4.370756
-102.412103,21,4.375297
-56.385733,80,4.391442
-46.874643,30,4.398223
-109.092264,27,4.404714
-99.600192,13,4.407794
-38.80593,13,4.410834
-99.245702,10,4.413498
-106.005363,26,4.419659
-39.938971,12,4.422554
-96.461414,21,4.427274
-114.622904,32,4.433926
-33.915454,13,4.437459
-72.533816,51,4.447993
-105.56529,47,4.457834
-101.951382,151,4.487743
-39.283746,12,4.490942
-114.067941,42,4.499581
-75.340491,40,4.510623
2.006966,15,4.514353
-99.035198,10,4.517457
-38.860776,11,4.520235
-44.557354,52,4.531187
-71.201126,53,4.541883
-1.928338,45,4.551699
13.627611,39,4.56008
-38.897406,10,4.562594
-126.879894,55,4.573529
3.923561,89,4.591611
-98.712686,13,4.594765
-99.253089,11,4.597544
-98.469389,10,4.600023
-56.464681,43,4.60962
-39.132446,11,4.612262
-125.415699,37,4.620765
-39.146161,10,4.623232
-38.899465,10,4.625954
-58.015299,37,4.633641
-87.620778,23,4.638678
-49.747691,36,4.646451
-39.355094,10,4.649416
-98.847342,13,4.652559
-83.542246,10,4.655095
-13.370511,10,4.657702
-25.306724,24,4.663498
-39.432153,10,4.665906
-105.442634,22,4.670668
11.905609,15,4.674598
-104.092571,13,4.678045
-39.672753,10,4.680535
-160.893448,108,4.701471
-38.908249,10,4.703953
-38.721404,10,4.706892
-39.240663,11,4.709635
-98.942299,10,4.712139
-107.863662,24,4.717657
-124.594172,57,4.732788
-99.301345,11,4.735868
-97.050278,54,4.747176
-98.797617,11,4.749902
-39.602564,11,4.75307
-107.696144,20,4.757616
-98.842437,10,4.760196
-62.683722,23,4.76519
-121.855117,42,4.774436
-49.878788,58,4.786737
-106.132141,23,4.79174
-39.18606,10,4.794266
-48.221706,12,4.797588
-46.303859,43,4.806801
-47.307312,30,4.813203
-28.392401,12,4.816112
-75.830877,70,4.830504
-105.386544,26,4.836208
7.506047,72,4.851144
-108.519165,45,4.860358
-39.528175,10,4.863056
-46.114439,23,4.867926
-73.744647,76,4.882957
-39.188356,11,4.885644
-125.384809,71,4.900791
-108.088207,23,4.905874
-88.693378,12,4.908708
-23.945542,11,4.911394
-7.957498,21,4.916398
-110.908481,39,4.924337
-39.178282,10,4.926913
-88.528823,10,4.929412
-99.115931,11,4.932557
-106.031728,28,4.938525
-39.140092,11,4.941232
3.361433,30,4.947613
-123.170637,55,4.96183
-129.253639,55,4.972948
-39.175218,11,4.975712
-106.458202,22,4.980507
-70.416686,78,4.996652
-38.918881,10,4.99904
-39.24603,11,5.001659
-107.554713,23,5.007206
-13.280797,11,5.010582
-39.098293,12,5.013437
-35.773748,23,5.018344
-98.660177,14,5.021697
-89.418287,35,5.029586
-28.643848,10,5.032107
-98.927807,10,5.034469
-142.857558,100,5.054305
-38.872633,12,5.057523
-39.244218,11,5.060233
-100.521306,16,5.064368
-38.930313,12,5.06716
-28.127857,12,5.070402
-57.319955,63,5.083309
-39.189999,13,5.086495
-131.625188,79,5.102822
-131.004804,52,5.113815
-38.70789,11,5.117036
-99.334352,10,5.119588
-98.520815,12,5.122597
-98.864677,11,5.125534
-39.151185,11,5.128335
-39.051933,12,5.131305
-68.260913,12,5.13414
-94.076952,52,5.144856
-39.326355,13,5.147828
-38.075476,15,5.151278
-98.993369,10,5.153819
-39.600627,10,5.156635
-38.590895,12,5.15948
-111.419942,42,5.168639
-49.143979,89,5.18932
-3.609714,10,5.192459
-38.6469,10,5.194989
-39.064834,13,5.198202
-39.597684,33,5.205298
-98.836484,11,5.208568
-72.849596,64,5.221672
-99.681903,16,5.225501
-23.664891,10,5.227991
-115.421795,38,5.237044
-35.321807,43,5.246003
-50.713635,27,5.251606
-81.088966,71,5.266049
-118.553329,46,5.275784
-107.153756,25,5.281077
-136.944485,71,5.295534
5.784106,25,5.300915
-60.707426,49,5.311145
-38.84213,11,5.313898
-98.929299,10,5.316448
-39.17613,10,5.31896
-39.468878,10,5.321871
-61.064635,74,5.337152
-45.788577,28,5.343425
-139.626842,87,5.360616
-119.833486,34,5.368091
-161.561459,102,5.388223
-30.713002,24,5.396169
-50.21641,107,5.418008
-104.783374,22,5.423599
-93.285147,18,5.427724
-38.878206,10,5.430262
-47.082125,23,5.435351
-62.734731,48,5.446086
-99.675161,10,5.449164
-39.809761,10,5.451649
-98.737191,11,5.454369
-58.029211,38,5.462367
-116.853585,36,5.469954
-38.785937,12,5.472747
16.901176,12,5.475564
-130.071364,61,5.488292
-39.336869,11,5.491049
-39.288523,10,5.493682
-49.351585,26,5.49907
-104.795599,31,5.506532
-100.09129,23,5.511623
-106.340273,22,5.516613
-112.144789,19,5.520782
-98.865473,10,5.523691
-63.53301,11,5.526397
-120.403804,52,5.537185
-175.22085,111,5.559793
-49.715759,34,5.567619
-93.572933,10,5.570212
-114.789187,37,5.577959
-38.98462,11,5.580834
-63.098649,12,5.584171
-105.181161,21,5.588779
-117.853079,68,5.602943
-33.687234,10,5.605447
-23.811922,10,5.608338
-113.341588,39,5.618934
-122.281227,81,5.635667
-38.314992,15,5.639292
-39.30907,12,5.642857
-105.72512,16,5.646557
-39.048153,13,5.649715
-39.636071,10,5.652209
-42.262281,26,5.658178
-29.532616,62,5.670763
-58.119565,51,5.681921
-98.762598,10,5.68449
-99.607664,10,5.687385
-98.529423,10,5.690026
-88.750257,13,5.693079
-76.891495,34,5.700297
-89.190927,65,5.713957
-42.370015,21,5.718724
-28.573192,10,5.721291
-39.605502,46,5.731683
-108.819006,32,5.738881
-58.289087,34,5.746082
-38.755941,11,5.748733
-108.251825,24,5.754166
-106.148446,25,5.760059
-72.587046,43,5.768973
-99.252233,11,5.771732
-106.407754,37,5.779502
-39.258335,10,5.782482
-73.663096,26,5.788599
-28.709411,11,5.791246
-59.068416,50,5.801756
-99.125042,10,5.804557
-116.886916,33,5.811374
-59.715951,72,5.82558
-38.950812,10,5.828159
-98.53209,10,5.831085
-39.214744,12,5.833948
-99.324469,11,5.836631
-56.260731,42,5.848202
-38.921704,10,5.851297
-48.379612,22,5.856359
-119.953568,50,5.866822
-3.289851,12,5.869806
-76.825137,44,5.879228
-106.949912,20,5.883918
-105.632245,25,5.889599
-38.911344,10,5.892321
-93.260299,10,5.89533
-38.894984,13,5.898813
-125.210381,52,5.910768
-39.173867,15,5.914373
-44.357007,35,5.922499
-123.789192,54,5.935511
-56.272208,59,5.949575
-47.380681,24,5.955352
-121.971255,43,5.969748
-108.980297,44,5.979411
-98.507242,13,5.982962
-89.138713,51,5.994474
-66.066377,73,6.013829
-38.588669,11,6.016975
-33.664103,93,6.037357
-105.507342,30,6.044355
-39.128283,13,6.048271
-98.450349,11,6.051065
-107.698812,19,6.055569
-40.247544,16,6.059595
-116.649594,36,6.067854
-39.145711,10,6.070436
-39.519199,12,6.073596
-33.632548,12,6.076608
-38.337558,10,6.079564
-107.563361,72,6.098494
-78.567264,82,6.116542
-72.832065,90,6.144233
-13.464049,10,6.147536
-137.652645,68,6.164894
-97.266994,136,6.196097
-144.323711,63,6.211778
-116.287787,45,6.22351
-39.14242,10,6.226352
-86.405612,86,6.246479
-103.739465,19,6.251667
-23.515698,13,6.255585
-69.226254,91,6.277112
-38.937607,10,6.280007
-115.439994,27,6.286874
6.740771,10,6.290245
-99.069806,10,6.293051
-125.168438,51,6.305411
-109.788254,32,6.312763
-94.045384,10,6.316574
-49.284076,28,6.323349
-90.082976,24,6.328918
-38.731734,10,6.332306
-48.895189,22,6.340912
-117.010888,33,6.349401
-20.151615,27,6.355662
-99.192256,10,6.358782
-60.420163,33,6.366797
-40.575221,22,6.372726
-124.841893,52,6.384844
-99.28018,10,6.387648
-51.326777,39,6.39728
-56.407891,41,6.408131
-56.432483,35,6.416451
-106.626144,21,6.422215
-39.436396,10,6.42577
-109.924559,25,6.431953
-157.286783,101,6.455668
-137.368895,73,6.472667
-99.43724,13,6.477478
-74.276892,70,6.494818
-56.477092,38,6.503797
-28.804566,10,6.50663
-99.478928,10,6.510216
-99.00887,14,6.513782
-92.512624,101,6.53583
