#{"t_start": 1682012610.2607944, "env_id": null}
r,l,t
-98.325481,10,3.268295
-135.721495,63,3.281874
-99.741401,14,3.285183
-119.799344,45,3.294359
-150.636702,12,3.297256
-286.483491,48,3.30755
-152.002427,22,3.312519
-149.600008,11,3.315302
-126.443709,22,3.320142
-115.354155,13,3.323787
-159.113153,10,3.32622
-168.277439,23,3.331164
-182.62765,69,3.345384
-165.175109,12,3.348759
-107.872396,52,3.359373
-149.148398,13,3.362481
-151.570777,16,3.366326
-249.081225,41,3.375749
-165.764636,13,3.378847
-151.565389,14,3.382098
-162.673319,54,3.396033
-106.1883,12,3.399451
-109.337358,34,3.406965
-99.58045,12,3.409836
-151.497639,20,3.414409
-154.36418,18,3.419144
-156.036967,10,3.421794
-170.082502,31,3.428236
-157.050932,10,3.43075
-152.307051,10,3.433959
-111.503122,55,3.445049
-98.846547,10,3.447615
-157.318434,40,3.456127
-144.878535,34,3.463654
-100.577146,15,3.467281
-102.872435,11,3.470042
-152.580879,11,3.472785
-150.135368,51,3.48394
-245.183635,72,3.498849
-118.267249,22,3.503732
-233.986128,37,3.511753
-101.63163,10,3.514815
-148.329598,10,3.517369
-150.339003,28,3.52349
-148.214396,10,3.52602
-102.629986,12,3.529338
-153.639611,11,3.532016
-154.285274,10,3.534636
-165.536829,41,3.543297
-116.342778,22,3.548561
-106.023686,16,3.552092
-196.06898,96,3.571225
-133.185113,47,3.581193
-149.672482,13,3.584705
-348.904361,46,3.594026
-182.286614,96,3.615156
-117.976717,38,3.623393
-152.272246,10,3.626441
-133.267851,72,3.641333
-182.2864,53,3.652688
-185.647618,18,3.656922
-243.659385,45,3.667058
-155.753943,41,3.675718
-208.743154,39,3.684132
-159.241023,35,3.691288
-183.104504,19,3.696226
-126.130843,63,3.709225
-148.23338,10,3.711824
-148.567942,11,3.714621
-105.568015,33,3.722058
-108.050622,37,3.729958
-101.526409,10,3.732388
-425.603157,80,3.749148
-148.419833,14,3.75293
-149.483266,13,3.755999
-145.814006,40,3.764416
-145.608327,36,3.771945
-160.438738,36,3.779991
-145.162267,63,3.792872
-122.318213,44,3.802208
-106.329805,11,3.804889
-151.336039,11,3.808099
-152.104668,25,3.813851
-118.048702,11,3.816602
-153.034671,13,3.819655
-148.258825,10,3.822464
-238.990939,62,3.837657
-154.706091,11,3.840571
-202.95047,64,3.853694
-105.295232,15,3.857736
-107.105032,11,3.860359
-149.275872,12,3.863469
-174.66822,61,3.876125
-101.197437,11,3.879369
-99.815033,11,3.882179
-274.941197,45,3.891854
-148.03901,11,3.894642
-147.905574,50,3.905404
-106.057992,12,3.90829
-110.721276,23,3.913342
-132.88366,38,3.921203
-245.850291,68,3.935555
-112.952428,27,3.941407
-114.843673,13,3.944539
-99.15158,10,3.946988
-157.905021,73,3.962244
-104.416167,10,3.965077
-99.678005,11,3.967693
-208.082092,44,3.9769
-106.74896,33,3.98434
-190.393039,47,3.994258
-98.75116,10,3.996723
-292.43101,60,4.009345
-107.566082,26,4.015518
-111.523143,11,4.018266
-152.624792,31,4.025277
-105.04631,35,4.032686
-161.004712,59,4.045532
-153.526951,10,4.048151
-160.012084,12,4.051253
-149.294714,11,4.053945
-339.071098,44,4.066406
-163.42241,52,4.077369
-149.802494,22,4.082399
-97.485367,13,4.08546
-99.557744,13,4.089186
-184.50544,67,4.102543
-107.588509,26,4.10822
-152.253972,10,4.110713
-98.21513,10,4.113793
-117.540972,35,4.121187
-139.233641,22,4.126177
-103.442933,10,4.128746
-171.461127,23,4.133958
-116.709761,11,4.136728
-112.508307,25,4.142268
-104.771212,10,4.144971
-105.365501,11,4.148123
-147.965757,11,4.15091
-102.555381,10,4.153431
-109.008038,21,4.158094
-101.845822,10,4.161094
-158.448995,21,4.165969
-163.421394,36,4.173366
-236.981196,55,4.184684
-100.813589,10,4.187427
-171.750685,23,4.192628
-146.168685,37,4.200271
-153.840593,10,4.202769
-156.363267,25,4.208531
-150.35401,12,4.211422
-159.235706,38,4.219227
-663.803319,82,4.23583
-205.367206,33,4.243318
-169.57378,37,4.251284
-249.199926,51,4.261856
-106.948964,11,4.264537
-150.375564,68,4.278969
-264.830969,65,4.294994
-98.554255,10,4.297595
-101.291193,12,4.300692
-157.283495,17,4.304979
-199.807198,65,4.318418
-104.922303,22,4.323538
-96.9921,15,4.327051
-161.776936,33,4.334383
-175.202401,36,4.342032
-149.176614,10,4.344525
-188.661148,78,4.360332
-160.418309,10,4.363218
-176.072778,38,4.371192
-117.468025,32,4.377937
-102.995187,12,4.380748
-162.56776,23,4.386311
-165.403254,13,4.389452
-493.715594,95,4.40838
-148.243308,11,4.411202
-100.203287,15,4.414979
-149.795163,10,4.417583
-98.097139,11,4.420427
-107.050162,10,4.422975
-118.144783,44,4.432512
-126.99196,65,4.445697
-119.372376,11,4.448352
-233.308513,36,4.455953
-153.736362,151,4.487708
-160.852855,40,4.495893
-106.809605,13,4.499157
-163.176351,49,4.512886
-98.197566,11,4.516232
-102.716768,19,4.520657
-97.26068,24,4.525907
-194.754773,26,4.531507
-164.831283,38,4.539827
-104.344956,10,4.542443
-150.824868,11,4.545212
-158.285697,23,4.550343
-100.080837,10,4.553304
-98.824704,21,4.558066
-97.844751,13,4.561219
-100.427268,27,4.567166
-102.596503,31,4.57453
-100.041318,12,4.577453
-98.75301,11,4.580231
-164.245153,11,4.583025
